,bill_no,cashier_id
0,536365,3
1,536366,1
2,536367,3
3,536368,2
4,536369,3
5,536370,27
6,536371,1
7,536372,2
8,536373,1
9,536374,2
10,536375,1
11,536376,3
12,536377,4
13,536378,1
14,536380,3
15,536381,1
16,536382,4
17,536384,2
18,536385,1
19,536386,2
20,536387,4
21,536388,1
22,536389,32
23,536390,3
24,536392,4
25,536393,3
26,536394,2
27,536395,3
28,536396,1
29,536397,3
30,536398,2
31,536399,4
32,536400,2
33,536401,4
34,536402,4
35,536403,16
36,536404,4
37,536405,2
38,536406,4
39,536407,2
40,536408,3
41,536409,2
42,536412,2
43,536415,4
44,536416,1
45,536420,2
46,536423,4
47,536425,3
48,536437,3
49,536446,1
50,536460,2
51,536463,2
52,536464,4
53,536466,2
54,536477,2
55,536488,3
56,536500,1
57,536502,3
58,536508,4
59,536514,2
60,536520,4
61,536521,2
62,536522,4
63,536523,3
64,536524,2
65,536525,1
66,536526,3
67,536527,26
68,536528,4
69,536529,4
70,536530,3
71,536531,1
72,536532,15
73,536533,1
74,536534,2
75,536535,4
76,536536,1
77,536537,3
78,536538,2
79,536539,3
80,536542,4
81,536544,4
82,536551,2
83,536555,1
84,536556,1
85,536557,1
86,536558,1
87,536559,3
88,536560,1
89,536561,4
90,536562,2
91,536563,4
92,536564,1
93,536565,3
94,536566,4
95,536567,3
96,536569,1
97,536570,1
98,536571,4
99,536572,3
100,536573,3
101,536574,3
102,536575,3
103,536576,3
104,536577,1
105,536578,4
106,536579,2
107,536580,2
108,536581,3
109,536582,1
110,536583,1
111,536584,3
112,536585,4
113,536586,2
114,536587,2
115,536588,1
116,536590,4
117,536591,4
118,536592,4
119,536593,2
120,536594,4
121,536595,4
122,536596,4
123,536597,2
124,536598,2
125,536599,1
126,536600,1
127,536601,3
128,536602,4
129,536603,2
130,536604,4
131,536605,1
132,536607,1
133,536608,3
134,536609,1
135,536610,3
136,536611,2
137,536612,2
138,536613,2
139,536614,1
140,536615,3
141,536616,3
142,536617,2
143,536618,3
144,536619,2
145,536620,3
146,536621,1
147,536623,2
148,536624,4
149,536626,1
150,536627,2
151,536628,4
152,536629,4
153,536630,4
154,536631,4
155,536632,4
156,536633,3
157,536634,2
158,536635,3
159,536636,4
160,536637,1
161,536638,1
162,536639,4
163,536640,2
164,536641,1
165,536643,1
166,536663,3
167,536667,3
168,536670,2
169,536671,4
170,536672,4
171,536673,3
172,536674,4
173,536676,4
174,536681,4
175,536685,1
176,536688,1
177,536690,3
178,536693,4
179,536698,4
180,536707,1
181,536732,4
182,536733,3
183,536735,4
184,536736,1
185,536738,2
186,536739,2
187,536740,1
188,536741,3
189,536742,1
190,536743,1
191,536744,2
192,536745,2
193,536746,4
194,536747,1
195,536748,2
196,536749,4
197,536750,4
198,536751,3
199,536752,2
200,536753,4
201,536754,4
202,536755,2
203,536756,3
204,536759,1
205,536761,2
206,536762,3
207,536763,1
208,536769,1
209,536771,2
210,536777,3
211,536778,4
212,536779,3
213,536780,4
214,536781,3
215,536782,1
216,536783,2
217,536784,3
218,536785,1
219,536786,4
220,536787,2
221,536788,2
222,536789,2
223,536790,4
224,536791,4
225,536792,4
226,536793,3
227,536794,3
228,536795,1
229,536796,2
230,536797,3
231,536798,3
232,536799,1
233,536800,4
234,536801,4
235,536802,4
236,536804,1
237,536805,1
238,536808,4
239,536810,1
240,536811,2
241,536813,4
242,536819,3
243,536821,1
244,536823,3
245,536824,2
246,536830,1
247,536831,4
248,536832,2
249,536833,3
250,536834,3
251,536835,4
252,536836,2
253,536837,3
254,536839,2
255,536840,26
256,536841,1
