id,product_category,product_sub_category
0,Household,Decorative Item
1,Household,Lighting
2,Household,Coat Hanger
3,Personal Care,Hot Water Bottle
4,Personal Care,Hot Water Bottle
5,Household,Storage Boxes
6,Household,Lighting
7,Personal Care,Hand Warmer
8,Personal Care,Hand Warmer
9,Household,Decorative Item
10,Household,Playhouse
11,Household,Playhouse
12,Entertainment and Travel,Craft Kit
13,Household,Drinkware Accessory
14,Household,Cutlery
15,Entertainment and Travel,Puzzle
16,Entertainment and Travel,Puzzle
17,Household,Decorative Letters
18,Household,Decorative Letters
19,Household,Storage Box
20,Household,Doormat
21,Household,Kitchen Accessory
22,Household,Coat Rack
23,Household,Coat Rack
24,Household,Coat Rack
25,Household,Decorative Letters
26,Electronics,Clock
27,Electronics,Clock
28,Electronics,Clock
29,Stationery and Office Supplies,Stickers
30,Stationery and Office Supplies,Gift Wrapping
31,Education,Geography Tool
32,Entertainment and Travel,Card Game
33,Household,Textile
34,Household,Snack Box
35,Household,Lunch Box
36,Household,Lunch Box
37,Household,Lunch Box
38,Clothing,Bag
39,Household,Lighting
40,Household,Textile
41,Entertainment and Travel,Puzzle
42,Entertainment and Travel,Puzzle
43,Entertainment and Travel,Puzzle
44,Entertainment and Travel,Painting Kit
45,Entertainment and Travel,Craft Kit
46,Clothing,Accessory
47,Household,Drinkware
48,Household,Drinkware
49,Household,Drinkware
50,Household,Drinkware
51,Household,Furniture
52,Household,Furniture
53,Household,Photo Frame
54,Household,Photo Frame
55,Household,Storage Box
56,Personal Care,Hot Water Bottle
57,Household,Lighting
58,Household,Storage Bag
59,Household,Storage Bag
60,Household,Storage Bag
61,Clothing,Bag
62,Household,Cutlery
63,Household,Cutlery
64,Household,Disposable Tableware
65,Household,Lunch Bag
66,Household,Lunch Box
67,Household,Lunch Box
68,Food and Beverage,Baking Supplies
69,Food and Beverage,Baking Supplies
70,Food and Beverage,Baking Supplies
71,Food and Beverage,Baking Supplies
72,Household,Coaster
73,Household,Trash Bin
74,Household,Decorative Item
75,Household,Storage Bag
76,Household,Storage Bag
77,Household,Kitchen Accessory
78,Food and Beverage,Tea Set
79,Household,Tool Set
80,Household,Storage Bag
81,Household,Wall Decor
82,Household,Furniture Accessory
83,Household,Furniture Accessory
84,Household,Furniture Accessory
85,Household,Photo Display
86,Household,Kitchen Accessory
87,Household,Decorative Item
88,Clothing,Bag
89,Household,Wall Decor
90,Household,Wall Decor
91,Household,Wall Decor
92,Household,Drinkware
93,Household,Drinkware
94,Entertainment and Travel,Craft Kit
95,Household,Wall Hook
96,Household,Kitchen Accessory
97,Household,Kitchen Accessory
98,Household,Lighting
99,Finance,Savings Bank
100,Household,Drinkware
101,Household,Drinkware
102,Clothing,Accessory
103,Clothing,Accessory
104,Finance,Savings Bank
105,Toys and Games,Soft Toy
106,Toys and Games,Craft Kit
107,Household,Decorative Item
108,Household,Coat Rack
109,Household,Doormat
110,Entertainment and Travel,Board Game
111,Household,Kitchen Accessory
112,Household,Storage Bag
113,Household,Storage Organizer
114,Household,Decorative Item
115,Household,Garden Accessory
116,Household,Kitchen Accessory
117,Household,Kitchen Accessory
118,Household,Storage Organizer
119,Household,Blackboard
120,Household,Lighting
121,Household,Lighting
122,Household,Lighting
123,Household,Wall Decor
124,Household,Decorative Item
125,Household,Decorative Item
126,Household,Lighting
127,Garden,Garden Decor
128,Household,Card Holder
129,Household,Kitchen Accessory
130,Household,Decorative Item
131,Household,Kitchen Accessory
132,Clothing,Bag
