,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.05,0.053,0.032,0.643,12.117,0.029,2.65,0.966
1,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.053,0.05,0.032,0.605,12.117,0.029,2.407,0.969
2,GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.051,0.043,0.031,0.602,14.084,0.029,2.408,0.979
3,GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.043,0.051,0.031,0.721,14.084,0.029,3.405,0.971
4,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.04,0.053,0.033,0.821,15.436,0.031,5.275,0.974
5,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.053,0.04,0.033,0.618,15.436,0.031,2.513,0.988
6,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.055,0.053,0.04,0.732,13.775,0.037,3.536,0.981
7,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.053,0.055,0.04,0.751,13.775,0.037,3.798,0.979
8,JUMBO BAG RED RETROSPOT,JUMBO  BAG BAROQUE BLACK WHITE,0.11,0.052,0.033,0.295,5.676,0.027,1.344,0.926
9,JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.052,0.11,0.033,0.626,5.676,0.027,2.381,0.869
10,JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.11,0.066,0.045,0.406,6.137,0.037,1.571,0.941
11,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.066,0.11,0.045,0.677,6.137,0.037,2.757,0.896
12,JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.11,0.065,0.037,0.34,5.254,0.03,1.416,0.91
13,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.065,0.11,0.037,0.58,5.254,0.03,2.118,0.866
14,JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.064,0.11,0.04,0.618,5.597,0.033,2.327,0.878
15,JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.11,0.064,0.04,0.361,5.597,0.033,1.463,0.923
16,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,0.079,0.11,0.03,0.381,3.456,0.022,1.438,0.772
17,JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,0.11,0.079,0.03,0.274,3.456,0.022,1.269,0.799
18,LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL,0.079,0.069,0.035,0.436,6.287,0.029,1.65,0.913
19,LUNCH BAG  BLACK SKULL,LUNCH BAG RED RETROSPOT,0.069,0.079,0.035,0.499,6.287,0.029,1.838,0.904
20,LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.079,0.057,0.032,0.398,6.936,0.027,1.566,0.93
21,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.057,0.079,0.032,0.551,6.936,0.027,2.049,0.908
22,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50S CHRISTMAS,0.046,0.064,0.031,0.672,10.481,0.028,2.858,0.948
23,PAPER CHAIN KIT 50S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.064,0.046,0.031,0.478,10.481,0.028,1.829,0.967
24,ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.055,0.04,0.031,0.57,14.238,0.029,2.233,0.983
25,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.04,0.055,0.031,0.776,14.238,0.029,4.228,0.969
26,WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.061,0.054,0.03,0.491,9.133,0.027,1.858,0.949
27,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.054,0.061,0.03,0.561,9.133,0.027,2.136,0.941
