id,item_name,product_category,product_sub_category
1,10 COLOUR SPACEBOY PEN,Household,Lighting
2,12 COLOURED PARTY BALLOONS,Food and Beverage,Baking Accessories
3,12 DAISY PEGS IN WOOD BOX,Stationery and Office Supplies,Gift Wrapping
4,12 EGG HOUSE PAINTED WOOD,Household,Door Hanger
5,12 HANGING EGGS HAND PAINTED,Household,Kitchen Accessories
6,12 IVORY ROSE PEG PLACE SETTINGS,Food and Beverage,Snack Box
7,12 MESSAGE CARDS WITH ENVELOPES,Household,Furniture
8,12 PENCIL SMALL TUBE WOODLAND,Clothing,Wash Bag
9,12 PENCILS SMALL TUBE RED RETROSPOT,Household,Tableware
10,12 PENCILS SMALL TUBE SKULL,Household,Table Accessory
11,12 PENCILS TALL TUBE POSY,Household,Furniture
12,12 PENCILS TALL TUBE RED RETROSPOT,Household,Decor
13,12 PENCILS TALL TUBE SKULLS,Household,Doormats
14,12 PENCILS TALL TUBE WOODLAND,Clothing,Hair Accessory
15,12 PINK HENCHICKS IN BASKET,Household,Lighting Accessories
16,12 PINK ROSE PEG PLACE SETTINGS,Entertainment and Travel,Decorative Item
17,12 RED ROSE PEG PLACE SETTINGS,Entertainment and Travel,Craft Kit
18,15 PINK FLUFFY CHICKS IN BOX,Personal Care,Jewelry
19,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Entertainment and Travel,Decorative Item
20,16 PC CUTLERY SET PANTRY DESIGN,Household,Seasonal Decor
21,16 PIECE CUTLERY SET PANTRY DESIGN,Household,Decor
22,18PC WOODEN CUTLERY SET DISPOSABLE,Household,Seasonal Decor
23,2 DAISIES HAIR COMB,Household,Wall Decor
24,2 PICTURE BOOK EGGS EASTER BUNNY,Household,Lighting Accessories
25,2 PICTURE BOOK EGGS EASTER CHICKS,Household,Storage
26,2 PICTURE BOOK EGGS EASTER DUCKS,Personal Care,Jewelry
27,20 DOLLY PEGS RETROSPOT,Household,Candles
28,200 BENDY SKULL STRAWS,Household,Table Accessory
29,200 RED  WHITE BENDY STRAWS,Household,Seasonal Decor
30,3 BIRDS CANVAS SCREEN,Household,Tableware
31,3 DRAWER ANTIQUE WHITE WOOD CABINET,Household,Textiles
32,3 GARDENIA MORRIS BOXED CANDLES,Household,Outdoor Decor
33,3 HEARTS HANGING DECORATION RUSTIC,Household,Decor
34,3 HOOK HANGER MAGIC GARDEN,Personal Care,Jewelry
35,3 HOOK PHOTO SHELF ANTIQUE WHITE,Personal Care,Jewelry
36,3 PIECE SPACEBOY COOKIE CUTTER SET,Clothing,Hair Accessory
37,3 PINK HENCHICKS IN BASKET,Stationery and Office Supplies,Notebooks
38,3 RAFFIA RIBBONS 50S CHRISTMAS,Household,Decor
39,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,Household,Lighting Accessories
40,3 ROSE MORRIS BOXED CANDLES,Household,Wall Hook
41,3 STRIPEY MICE FELTCRAFT,Entertainment and Travel,Decorative Item
42,3 TIER CAKE TIN GREEN AND CREAM,Stationery and Office Supplies,Writing Tools
43,3 TIER CAKE TIN RED AND CREAM,Household,Decorative Letters
44,3 TIER SWEETHEART GARDEN SHELF,Entertainment and Travel,Decorative Item
45,3 TRADITIONAL COOKIE CUTTERS  SET,Household,Drinkware
46,3 TRADITIONAl BISCUIT CUTTERS  SET,Clothing,Umbrella
47,3 WHITE CHOC MORRIS BOXED CANDLES,Stationery and Office Supplies,Gift Tags
48,3 WICK CHRISTMAS BRIAR CANDLE,Household,Food Cover
49,36 DOILIES DOLLY GIRL,Household,Candles
50,36 DOILIES VINTAGE CHRISTMAS,Entertainment and Travel,Crafts
51,36 FOIL HEART CAKE CASES,Household,Home Fragrance
52,36 FOIL STAR CAKE CASES,Household,Seasonal Decor
53,36 PENCILS TUBE POSY,Household,Seasonal Decor
54,36 PENCILS TUBE RED RETROSPOT,Clothing,Jewelry
55,36 PENCILS TUBE SKULLS,Entertainment and Travel,Decorative Item
56,36 PENCILS TUBE WOODLAND,Household,Storage Jar
57,3D CHRISTMAS STAMPS STICKERS,Personal Care,Jewelry
58,3D DOG PICTURE PLAYING CARDS,Household,Furniture Accessory
59,3D HEARTS  HONEYCOMB PAPER GARLAND,Electronics,Speaker
60,3D SHEET OF CAT STICKERS,Stationery and Office Supplies,Envelope
